Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
161,0,0.0,50,1,0.7265669929999999,3477.0,5,0,1,0,1.0
162,0,0.07077191099999999,38,0,2088.0,,6,0,1,0,0.0
163,1,1.046279103,47,1,1.104301274,5416.0,6,0,2,0,1.0
164,0,0.323719804,63,0,0.6108412670000001,5146.0,9,0,2,0,2.0
165,0,0.36459777,42,0,0.593899089,6916.0,7,0,3,0,0.0
166,0,0.637736406,54,2,3.382196162,1875.0,9,0,2,0,0.0
167,0,0.081379827,63,0,1268.0,,8,0,1,0,0.0
168,0,0.020966389,29,0,639.5,1.0,3,0,1,0,2.0
169,0,0.170103002,36,0,0.138461538,7734.0,8,0,0,0,0.0
170,0,0.7718456309999999,33,0,0.8524295140000001,5000.0,7,0,3,0,0.0
171,0,0.05538241,72,0,0.089091313,4500.0,4,0,0,0,0.0
172,0,0.9999998999999999,29,0,974.0,,2,0,0,0,0.0
173,0,0.16653274,53,0,0.5436259489999999,7506.0,11,0,3,0,3.0
174,0,0.008632035,79,0,0.365151154,4200.0,9,0,1,0,0.0
175,0,0.13527952,58,0,0.342005076,9455.0,11,0,2,0,2.0
176,0,0.16757138900000002,69,0,0.330733853,5000.0,10,0,1,0,1.0
177,0,0.9999998999999999,69,0,0.0053191490000000004,2255.0,0,1,0,0,3.0
178,0,0.068335151,75,0,0.010927876000000001,10065.0,9,0,0,0,0.0
179,0,0.0,41,0,0.907538526,2400.0,6,0,1,0,0.0
180,1,0.946963874,35,0,1593.0,,6,0,1,0,1.0
181,0,0.405183973,46,0,0.667835346,7700.0,22,0,2,0,1.0
182,0,0.055549312999999996,65,0,2177.0,,6,0,1,0,1.0
183,0,0.676195456,55,0,0.436665827,3970.0,10,1,1,0,0.0
184,0,0.18498678699999999,55,4,3144.0,,11,0,1,0,0.0
185,1,0.08533829300000001,51,0,0.47750362799999996,6200.0,11,0,1,0,0.0
186,1,0.0,25,0,0.152896812,2916.0,3,0,0,1,0.0
187,1,0.7864854059999999,44,0,0.291709578,3883.0,7,2,0,2,1.0
188,0,0.0112096,86,0,13.0,,3,0,0,0,0.0
189,0,0.03833451,56,0,0.43891221799999997,5000.0,7,0,2,0,0.0
190,0,0.714980139,55,0,0.47090194,15000.0,12,0,2,0,3.0
191,0,0.043032042,64,0,0.33201638899999997,6833.0,14,0,2,0,0.0
192,0,1.095083357,53,5,0.536703799,3500.0,7,1,1,2,0.0
193,0,0.0,49,0,2932.0,,11,0,1,0,0.0
194,0,0.9999998999999999,55,0,0.156259612,3250.0,5,0,0,0,4.0
195,0,0.101430135,80,1,0.016196761,5000.0,9,0,0,0,0.0
196,1,0.025892468999999998,38,0,74.5,1.0,13,0,0,0,2.0
197,0,0.7621585609999999,44,4,0.22446550199999998,21000.0,5,0,1,0,3.0
198,0,0.231692268,40,0,0.119660709,3300.0,7,0,0,0,0.0
199,0,0.114869499,35,0,103.0,,6,0,0,0,0.0
200,0,0.035489848,69,0,0.308438695,3400.0,9,0,1,0,0.0
201,0,0.045423864,64,0,0.18131128600000002,5200.0,4,0,1,0,0.0
202,0,0.311954668,61,0,0.269281443,9866.0,12,0,2,0,2.0
203,0,0.07873891599999999,46,0,0.166215372,4800.0,6,0,1,0,4.0
204,0,0.137609462,49,0,0.42953389200000003,7272.0,11,0,2,0,0.0
205,0,0.030173038,64,0,0.17386957,9000.0,8,0,1,0,0.0
206,0,0.021978375,40,0,0.44375562399999996,10000.0,12,0,5,0,2.0
207,0,0.443696851,27,0,0.024340075,5833.0,4,0,0,0,0.0
208,0,0.007506793,60,0,1253.0,,8,0,1,0,1.0
209,0,0.046640327999999995,92,1,0.034326669,2650.0,13,0,0,0,0.0
210,0,0.29236594899999996,50,0,0.420180551,8750.0,8,0,2,0,0.0
211,0,0.20808276,64,0,2826.0,,14,0,2,0,0.0
212,0,0.9999998999999999,66,1,0.358101135,1937.0,4,1,0,0,0.0
213,0,0.013500824,53,0,0.183464028,19000.0,8,0,1,0,2.0
214,0,0.9999998999999999,62,0,0.04965839,6000.0,1,0,0,0,0.0
215,1,0.655316473,63,0,5223.0,,19,0,2,0,0.0
216,0,0.9999998999999999,50,2,1208.0,,4,0,1,0,0.0
217,0,0.028113957000000002,61,0,0.031349387,2200.0,12,0,0,0,0.0
218,0,0.22269620699999998,42,0,800.0,1.0,3,0,1,0,2.0
219,0,0.593985244,63,0,0.332698534,5250.0,4,0,2,0,0.0
220,0,0.017508178,73,1,0.13558915300000002,4166.0,12,0,1,0,0.0
221,0,0.611865678,72,0,0.04578345,7600.0,3,0,1,0,0.0
222,0,0.333060631,52,3,0.7001533740000001,5215.0,15,0,2,1,0.0
223,0,0.009025178,45,0,0.376836435,8167.0,4,0,1,0,2.0
224,0,0.260271523,44,0,0.29685480399999997,6962.0,11,0,1,0,0.0
225,0,0.455950788,63,1,0.701766078,6001.0,19,0,2,0,0.0
226,0,0.080288098,37,0,0.322446259,6000.0,7,0,1,0,0.0
227,1,1.9534883719999998,38,0,0.153500141,3556.0,5,0,0,0,2.0
228,0,0.181557324,36,0,0.56071964,2000.0,7,0,1,0,1.0
229,0,0.147123525,41,0,0.43602562100000003,6400.0,5,0,1,0,2.0
230,0,0.025601772000000002,63,1,0.262773723,10000.0,8,0,1,0,0.0
231,0,0.0,76,0,0.002465931,7704.0,3,0,0,0,0.0
232,0,0.196372799,43,0,0.5374855820000001,2600.0,10,0,1,0,0.0
233,0,0.08394524199999999,64,0,0.588073078,2900.0,6,0,1,0,0.0
234,0,0.034833091000000004,67,0,0.46024618700000003,12916.0,9,0,2,0,0.0
235,0,0.787522133,52,0,0.353860086,4416.0,12,0,0,0,1.0
236,0,0.0,66,0,3730.0,,8,0,1,0,0.0
237,0,0.125429152,55,0,0.476704659,5000.0,3,0,2,0,0.0
238,0,0.06037487,42,0,0.578676723,5833.0,17,0,2,0,2.0
239,0,0.9999998999999999,28,0,0.0,,0,0,0,0,
240,0,0.295928252,47,0,0.283765445,14000.0,6,0,2,0,1.0
241,1,0.973339258,61,1,0.209961825,5500.0,11,0,0,1,1.0
242,0,0.002856735,73,0,0.000285687,10500.0,10,0,0,0,0.0
243,0,0.8775648970000001,58,0,2825.0,,10,0,2,0,0.0
244,0,0.9999998999999999,68,0,0.040493251,6000.0,0,0,0,0,0.0
245,0,0.053431552,41,0,0.20364404,9000.0,3,0,1,0,0.0
246,0,0.732660667,44,2,0.14041952,9200.0,15,0,1,0,0.0
247,0,0.08422045800000001,42,0,0.45855115799999996,6694.0,26,0,2,0,4.0
248,0,0.114561798,40,0,0.359964004,10000.0,20,0,2,0,2.0
249,0,0.012151003,78,0,0.008886914000000001,4500.0,12,0,0,0,0.0
250,0,0.08131073700000001,81,0,0.165566887,3333.0,4,0,0,0,0.0
251,0,0.09811305,49,0,0.257017809,6625.0,9,0,2,0,0.0
252,1,1.048210842,58,7,0.151956584,3500.0,12,0,0,0,0.0
253,0,0.011883886000000001,54,0,0.092913547,9750.0,8,0,1,0,2.0
254,0,0.75264947,33,1,0.058322869000000006,7166.0,6,0,0,0,0.0
255,0,0.112321289,53,0,0.266909775,8500.0,9,0,1,0,5.0
256,0,0.0,23,0,0.0,1725.0,1,0,0,0,0.0
257,0,0.6343270560000001,49,1,0.123125125,15000.0,7,0,0,0,1.0
258,0,0.15576324,44,0,0.278077082,4825.0,4,0,1,0,2.0
259,0,0.0,63,0,0.007988921999999999,9387.0,9,0,0,0,0.0
260,0,0.09061488699999999,42,0,86.0,,5,0,0,0,0.0
261,0,0.034645112,65,0,0.125189985,12500.0,4,0,1,0,1.0
262,0,0.027446382999999998,54,0,1612.0,,6,0,1,0,0.0
263,0,0.41239862200000005,28,0,0.037259615,4991.0,5,0,0,0,0.0
264,0,0.024670782000000002,78,0,392.0,,6,0,1,0,
265,0,0.046710960999999995,66,0,1.117952819,2500.0,12,0,1,0,0.0
266,0,0.976531824,32,0,0.264078812,6800.0,6,0,0,0,2.0
267,0,0.007982621,43,1,0.009691169,208333.0,11,0,1,0,1.0
268,0,0.267541336,59,0,0.637607437,5700.0,13,0,2,0,1.0
269,0,0.019779326,76,0,0.267149259,2900.0,9,0,0,0,0.0
270,0,0.010402205,68,0,0.09414051699999999,3600.0,6,0,1,0,0.0
271,0,0.9999998999999999,61,0,0.529548989,1285.0,3,0,1,0,0.0
272,0,0.029816467000000003,68,0,0.175139978,4464.0,12,0,1,0,1.0
273,0,0.181713732,57,0,0.130453416,11666.0,17,0,1,0,1.0
274,0,0.051368557,68,0,0.44527736100000004,4668.0,10,0,1,0,2.0
275,0,0.29264536,57,0,0.20592788399999998,26484.0,11,0,2,0,3.0
276,1,0.22082371899999997,46,1,0.637749121,1705.0,5,0,0,0,0.0
277,0,0.008099838,69,0,0.389895596,8332.0,3,0,1,0,0.0
278,0,0.0,44,0,0.32638368100000004,6666.0,4,0,2,0,1.0
279,0,0.006099797,28,0,0.139429485,3750.0,8,0,0,0,0.0
280,0,0.909538698,53,1,0.5956539129999999,7500.0,16,0,1,0,1.0
281,0,0.941072508,40,0,0.178184282,8855.0,9,0,1,0,0.0
282,0,0.991667222,36,1,0.554878049,5411.0,10,0,2,0,1.0
283,0,0.6914884179999999,42,0,0.272721679,16250.0,11,0,1,0,1.0
284,0,0.11285525800000001,64,0,0.307576329,2652.0,6,0,1,0,0.0
285,0,0.260971034,57,0,5439.0,,16,0,3,0,
286,0,0.048244493,62,0,0.26287915300000003,16615.0,11,0,1,0,1.0
287,0,0.9999998999999999,47,0,0.092163472,9493.0,2,2,0,1,0.0
288,0,0.9999998999999999,62,0,0.0,5480.0,3,0,0,0,0.0
289,0,0.074256375,49,0,0.34793041399999997,5000.0,11,0,2,0,3.0
290,0,0.14487840800000001,66,0,0.28446242,8900.0,9,0,1,0,0.0
291,0,0.19100193199999999,54,0,0.7056277059999999,5081.0,10,0,2,0,2.0
292,0,0.21938287899999998,56,1,942.0,,9,0,1,0,1.0
293,0,0.679813777,83,0,0.6895897559999999,4216.0,6,0,2,0,0.0
294,0,2340.0,45,0,0.339332853,8333.0,7,0,2,0,2.0
295,0,0.371875401,29,0,0.53628857,2300.0,9,0,1,0,3.0
296,0,0.025856407999999997,67,0,0.083799311,13054.0,13,0,1,0,0.0
297,0,0.547887778,29,1,0.24651504,2725.0,5,0,0,1,0.0
298,0,0.271668778,46,1,0.282830201,15800.0,14,0,2,0,4.0
299,0,0.085152475,25,0,1005.0,0.0,5,0,0,0,0.0
300,0,0.897203427,68,0,0.7878030490000001,4000.0,8,0,2,0,0.0
301,0,0.25889775,33,0,0.537441339,4900.0,3,0,1,0,1.0
302,0,0.0,55,1,0.03988553,5590.0,8,0,0,0,0.0
303,0,0.035940506000000004,46,0,0.271186441,6666.0,10,0,1,0,3.0
304,0,0.9999998999999999,66,0,0.04663391099999999,11600.0,2,0,0,0,1.0
305,0,0.465238835,66,0,0.39142767100000003,3172.0,8,1,1,0,0.0
306,0,0.8654230509999999,48,0,0.07584830299999999,500.0,1,0,0,0,0.0
307,0,0.6964116709999999,52,0,0.408871921,11000.0,11,0,1,0,4.0
308,0,0.5444976579999999,32,1,0.166766647,6667.0,5,1,0,0,0.0
309,0,0.081238383,51,0,0.066830086,7750.0,14,0,0,0,2.0
310,0,0.9487628090000001,27,0,0.144948404,4166.0,5,0,0,0,0.0
311,0,0.0,32,2,0.463610776,7460.0,10,0,1,1,0.0
312,0,0.016598893,30,0,0.13657561599999998,1500.0,5,0,0,0,0.0
313,0,0.063329564,37,0,0.329935275,6179.0,6,0,1,0,3.0
314,0,0.093638481,49,0,0.042836572999999996,8333.0,10,0,0,0,1.0
315,0,0.0,37,0,0.184027338,7900.0,5,0,1,0,5.0
316,0,0.730271957,36,1,0.632794037,5500.0,10,0,2,0,0.0
317,0,0.42637114200000004,62,1,0.406053995,3666.0,15,0,1,0,0.0
318,0,0.948978489,57,0,0.043744532,8000.0,3,0,0,0,1.0
319,0,0.0,59,0,0.0,4200.0,7,0,0,0,1.0
320,0,1.00264667,38,2,0.472542946,3550.0,8,1,0,1,4.0
321,0,0.0164781,92,0,10.0,,3,0,0,0,0.0
322,0,0.042606843,58,0,3976.0,,13,0,3,0,0.0
323,0,0.022890604,37,0,0.28847729899999996,6100.0,16,0,1,0,0.0
324,0,0.283821988,63,0,0.7502008029999999,1244.0,9,0,0,0,0.0
325,0,0.319779462,32,0,1.247340213,12500.0,12,0,8,0,0.0
326,0,0.155240525,52,0,0.483518065,6946.0,15,0,2,0,1.0
327,0,0.013115183,43,0,4211.0,0.0,21,0,2,0,2.0
328,0,0.067259209,29,1,0.168340507,2090.0,3,0,0,0,0.0
329,0,0.284236153,45,1,0.318890815,7500.0,9,0,1,0,2.0
330,0,0.727560021,38,0,0.7124587459999999,2423.0,6,0,1,0,1.0
331,0,0.6877790970000001,62,0,0.24947116100000002,7090.0,15,0,0,0,0.0
332,0,0.9999998999999999,29,0,0.0,,0,0,0,0,0.0
333,0,0.033708851,41,0,0.40870635299999997,6500.0,9,0,1,0,2.0
334,0,0.0,29,0,0.193935355,3000.0,7,0,0,0,0.0
335,1,0.03719769,47,0,0.03975841,25000.0,11,0,1,0,3.0
336,0,0.0,55,1,0.388320836,4400.0,4,0,2,0,1.0
337,0,0.053589282,87,0,0.001534331,5213.0,4,0,0,0,0.0
338,0,0.100773109,41,0,0.199761673,9230.0,7,0,1,0,0.0
339,0,0.0,61,0,1.3949671769999998,913.0,11,0,2,0,0.0
340,0,0.399946674,28,0,0.18970257399999998,4000.0,6,0,0,0,1.0
341,0,0.052653171,43,0,0.5722921910000001,1984.0,9,0,0,0,4.0
342,0,0.072318616,71,0,0.42641246200000005,4300.0,8,0,2,0,1.0
343,0,0.203959597,46,0,0.072914726,16100.0,6,0,1,0,2.0
344,0,0.9999998999999999,30,0,0.090341011,5600.0,1,0,0,0,0.0
345,1,0.880370887,43,0,0.46132376399999997,7523.0,6,0,1,0,1.0
346,0,0.429246267,59,0,0.38125431600000004,15928.0,17,0,1,0,1.0
347,0,0.0,47,0,773.0,,2,0,1,0,1.0
348,0,0.049529205,61,0,542.0,,15,0,0,0,0.0
349,0,0.36090757100000004,72,0,0.35667928600000004,3697.0,6,0,1,0,0.0
350,0,0.335737457,50,0,0.45722203,5773.0,9,0,1,0,1.0
351,1,0.635720859,68,1,0.21807127699999998,25000.0,27,0,3,0,0.0
352,0,0.0,58,0,8380.0,,20,0,5,0,0.0
353,0,0.507972665,69,2,0.193935355,3000.0,10,2,0,2,0.0
354,0,0.24584166600000001,71,0,151.0,,5,0,0,0,0.0
355,1,0.953343701,48,2,2073.0,,5,1,2,2,0.0
356,0,0.9999998999999999,37,0,0.18462563899999998,4500.0,2,0,0,0,1.0
357,0,0.11885383699999999,50,0,2720.0,,7,0,1,0,2.0
358,0,0.630073985,38,0,0.563328034,1886.0,3,0,1,0,0.0
359,0,0.9999998999999999,35,0,3388.0,,1,0,1,0,0.0
360,0,0.028423247000000002,59,0,0.033982276,14330.0,12,0,1,0,0.0
361,0,0.143427862,67,0,0.119463561,5666.0,9,0,0,0,0.0
362,0,0.186682782,30,0,0.698120752,2500.0,7,0,2,0,2.0
363,0,0.496388581,56,0,0.170164956,19580.0,12,0,1,0,1.0
364,0,0.457526639,51,0,0.33358330199999997,8000.0,16,0,2,0,2.0
